	MDH01	MDH02	MDH03	MDH04	MDH05	MDH06	MDH07	MDH08	MDH09	MDH10	MDH11	MDH12	MDH13	MDH14	MDH15	MDH16	MDH17	MDH18	MDH19	MDH20	MDH21	MDH22	MDH23	MDH24	MDH25	MDH26	MDH27	MDP01	MDP02	MDP03	MDP04	MDP05	MDP06	MDP07	MDP08	MDP09	MDP10	MDP11	MDP12	MDP13	MDP14	MDP15	MDP16	MDP17	MDP18	MDP19	MDP20	MDP21	MDP22	MDP23	MDP24	MDP25	MDP26	MDP27	MDS01	MDS02	MDS03	MDS04	MDS05	MDS06	MDS07	MDS08	MDS09	MDS10	MDS11	MDS12	MDS13	MDS14	MDS15	MDS16	MDS17	MDS18	MDS19	MDS20	MDS21	MDS22	MDS23	MDS24	MDS25	MDS26	MDS27
OTU01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	1	3	1	2	0	1	1	1	0	0
OTU03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06	0	0	0	1	1	0	1	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	2	0	0	0	0	0
OTU07	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	3	1	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	1	3	0	2	1	0	0	1	0	2	2	1	3	1	1	0	1	3
OTU08	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU09	1	1	0	0	0	1	0	2	0	0	0	1	0	0	2	1	0	0	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	2	0	1	1	0	1	0	1
OTU10	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU11	0	1	0	0	1	0	2	1	2	2	1	1	2	1	0	1	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	1	0	0	1	0	0	2	1	0	4	0	4	0	1	0	0	0	0	0	1
